"agegrp"	"gender"	"year"	"cause_code"	"rate"	"relrank"
"85+"	"M"	2000	"G30-G31"	530.6	7
"85+"	"M"	2000	"I20-I25"	4701.7	1
"85+"	"M"	2000	"I30-I51"	1494.4	3
"85+"	"M"	2000	"I60-I69"	1484.3	4
"85+"	"M"	2000	"I70-I78"	391.4	9
"85+"	"M"	2000	"J09-J18"	892	6
"85+"	"M"	2000	"J40-J47"	967.9	5
"85+"	"M"	2000	"N17-N19"	374.2	10
"1-4"	"F"	2001	"A30-A49"	0.8	10
"1-4"	"F"	2001	"C00-C97"	2.6	3
"1-4"	"F"	2001	"E70-E88"	1	8
"1-4"	"F"	2001	"I30-I51"	1.2	7
"1-4"	"F"	2001	"Q00-Q07"	1	9
"1-4"	"F"	2001	"Q20-Q28"	1.3	5
"1-4"	"F"	2001	"R95-R99"	1.2	6
"1-4"	"F"	2001	"V01-V99"	3.8	2
"1-4"	"F"	2001	"W00-X59"	5.1	1
"1-4"	"F"	2001	"X85-Y09"	2.3	4
"1-4"	"F"	2002	"C00-C97"	2.5	4
"1-4"	"F"	2002	"E70-E88"	0.9	8
"1-4"	"F"	2002	"I30-I51"	0.8	9
"1-4"	"F"	2002	"J09-J18"	0.6	10
"1-4"	"F"	2002	"Q00-Q07"	1	7
"1-4"	"F"	2002	"Q20-Q28"	1.1	5
"1-4"	"F"	2002	"R95-R99"	1.1	6
"1-4"	"F"	2002	"V01-V99"	3.4	2
"1-4"	"F"	2002	"W00-X59"	4.7	1
"1-4"	"F"	2002	"X85-Y09"	2.5	3
"1-4"	"F"	2003	"C00-C97"	2.2	4
"1-4"	"F"	2003	"E70-E88"	1	8
"1-4"	"F"	2003	"I30-I51"	1	7
"1-4"	"F"	2003	"J09-J18"	0.9	9
"1-4"	"F"	2003	"Q00-Q07"	0.6	10
"1-4"	"F"	2003	"Q20-Q28"	1.6	5
"1-4"	"F"	2003	"R95-R99"	1.2	6
"1-4"	"F"	2003	"V01-V99"	3.7	2
"1-4"	"F"	2003	"W00-X59"	5	1
"1-4"	"F"	2003	"X85-Y09"	2.3	3
